Inventory Size Key,Item Description,Size Description,Size Description 2,Size Description 3,Unit Cost
22402,Phoenix Products,RHOTON ATRAUMATIC SUCTION TUBE,TSI-1013-118612,"Straight Tip, Angled Tube, 7 French; 4 in (100mm)",161.32
22393,Phoenix Products,"RHOTON ATRAUMATIC SUCTION TUBE, STRAIGHT TIP, ANGLED, 5 FR., 4"" (10.0 CM)",TSI-1013-118610,,161.32
21169,Phoenix Products,RHOTON FORCEPS BAYONET FINE TIP TIP WIDTH 0.5MM,TSI-135-61257,,424.94
21170,Phoenix Products,RHOTON FORCEPS BAYONET REGULAR TIP TIP WIDTH 1MM,TSI-135-61258,,1295.00
21171,Phoenix Products,RHOTON FORCEPS STRAIGHT FINE TIP TIP WIDTH 0.7MM,TSI-135-61256,,1295.00
21180,Phoenix Products,RHOTON MICRO CUP FORCEPS ALLIGATOR ACTION STRAIGHT TIP WIDTH 1MM,TSI-108-95510,,300.70
21192,Phoenix Products,RHOTON ROUND DISSECTOR NO 3 STRAIGHT SHARP TIP WIDTH 3.3MM,TSI-135-611137,,75.29
21193,Phoenix Products,RHOTON SCISSORS BAYONET CURVED TIP MATERIAL TITANIUM,TSI-135-612910,,464.68
21200,Phoenix Products,RHOTON SPATULA DISSECTOR,TSI-135-6111311,"Straight Shaft, 7 1/2 in (190 mm)",170.00
21216,Phoenix Products,RIBBON RETRACTOR,TSI-77-57107,Malleable; 1 in wide; 13 in (330 mm),27.65
21215,Phoenix Products,"RIBBON RETRACTOR 1 1/4"" X 13""",TSI-77-57108,,10.75
21217,Phoenix Products,"RIBBON RETRACTOR 1"" X 8""",TSI-77-55710,,8.43
21218,Phoenix Products,"RIBBON RETRACTOR 1/2"" X 8""",TSI-77-5567,,8.95
21219,Phoenix Products,"RIBBON RETRACTOR 1/4"" X 8""",TSI-77-55511,,10.75
21227,Phoenix Products,RICHARDSON APPENDECTOMY RETRACTOR RING HANDLED,TSI-105-9686,,70.59
22151,Phoenix Products,RICHARDSON RETRACTOR,TSI-105-9679C,"Grip Handle, 1 in Wide x 1 1/4 in Deep; 9 1/2 in (240 mm)",36.00
21250,Phoenix Products,"ROCHESTER OSCHNER FORCEP 1X2 CURVED 6 1/4""",TSI-611-68611,,11.81
21254,Phoenix Products,ROCHESTER OSCHNER FORCEP 1X2 STRAIGHT,TSI-611-67611,6 1/4 in,12.72
21257,Phoenix Products,"ROCHESTER OSCHNER FORCEP 1X2 STRAIGHT 8""",TSI-611-6775,,18.88
21267,Phoenix Products,ROCHESTER-OCHSNER FORCEP,TSI-87-9665,"Straight, 6 1/4 IN (159 mm)",9.05
21275,Phoenix Products,ROCHESTER-OCHSNER FORCEP,TSI-89-9665,"Straight, 6 1/4 IN (159 mm)",14.50
21284,Phoenix Products,ROCHESTER-PEAN FORCEP,TSI-87-95126,Curved; 6 1/4 in (159mm),8.75
21305,Phoenix Products,ROCHESTER-PEAN FORCEP,TSI-611-6675,Curved; 8 in (203 mm),17.47
21291,Phoenix Products,"ROCHESTER-PEAN FORCEPS STRAIGHT 7 1/4"" (184MM)",TSI-87-95135,,11.26
21295,Phoenix Products,"ROCHESTER-PEAN HEMOSTATIC FORCEP CURVED 6 1/4""",TSI-611-66611,,10.50
21301,Phoenix Products,"ROCHESTER-PEAN HEMOSTATIC FORCEP STRAIGHT 6 1/4""",TSI-611-65611,,11.93
21312,Phoenix Products,ROGERS-TYPE HYSTERECTOMY FORCEP,TSI-812-61055,"2x3 Atraumatic Teeth, Sarot-Style Shanks, 1 1/2 in Jaw Length, Slight Curve; 8 3/4 in ( 220mm)",137.40
21313,Phoenix Products,ROGERS-TYPE HYSTERECTOMY FORCEP,TSI-812-61058,"2x3 Atraumatic Teeth, Sarot-Styly Shanks, 1 3/4 Jaw Length, Slight Curve; 10 in (254 mm)",171.75
22467,Phoenix Products,"RONGEUR, FRIEDMAN MICRO STRAIGHT, VERY DELICATE  1.5 MM JAW",TSI-85-5756,"1.5 mm, 5 1/2 in",101.97
22466,Phoenix Products,"RONGEUR, FRIEDMAN STRAIGHT, DELICATE 2.0 MM",TSI-85-5758,,101.97
22234,Phoenix Products,ROTATING BACKBITING ANTRUM PUNCH,TSI-118-121175,Adult; 2.5mm x 7mm,734.55
21325,Phoenix Products,"ROUX RETRACTOR 1"" X 1 1/2"" X 6"" LONG",TSI-77-611610,,19.05
21329,Phoenix Products,RUBIN DORSAL OSTEOTOME,TSI-118-56513,14 mm Wide; 7 in (178 mm),72.00
21334,Phoenix Products,RUMEL OBTURATOR CHILD,TSI-1010-1091414,,38.52
22702,Phoenix Products,"RUMEL THORACIC FORCEPS, SLIGHT CURVE, 9""",TSI-611-1112115,,38.63
22140,Phoenix Products,RUMEL TOURNIQUET & OBTURATOR,TSI-1112-13556,Adult-Obturator Only; 12 in (315 mm),27.75
21338,Phoenix Products,RUSK RONGEUR,TSI-86-511510,Straight; 5 mm; 7 1/8 in,74.77
21339,Phoenix Products,RUSKIN BONE CUTTING FORCEPS STRAIGHT,TSI-85-67145,,230.39
21345,Phoenix Products,"RUSKIN BONE RONGEUR CURVED 5.0 MM 7 1/8""",TSI-86-512510,,70.33
22127,Phoenix Products,RUSKIN RONGEUR,TSI-86-51156,Straight; Double Action; 5 mm Wide Jaw; 7 1/4 in (184 mm),200.00
21352,Phoenix Products,"RUSSIAN TISSUE FORCEP 8""",TSI-512-61075,,23.30
21363,Phoenix Products,S HOOK,TSI-1111-65712,,34.95
21368,Phoenix Products,"SAROT INTRA-THORACIC FORCEPS, 9""",TSI-85-1351014,,37.56
21371,Phoenix Products,SATINSKY VENA CAVA CLAMP LARGE INSIDE JAW 50MM LONG 13MM DEEP,TSI-812-6755,,358.74
21372,Phoenix Products,SATINSKY VENA CAVA CLAMP MEDIUM INSIDE JAW 40MM LONG 9MM DEEP,TSI-812-6756,,348.35
21390,Phoenix Products,"SCHNIDT HEMOSTATIC FORCEPS HALF CURVE, 7 1/4""",TSI-85-97146,,21.89
21979,Phoenix Products,SCHROEDER EPISIOTOMY SCISSORS,TSI-6108-8775,"Heavy, Straight, Sharp/Blunt; 8 1/4 in (210mm)",42.00
21392,Phoenix Products,SCHROEDER TENACULUM FCPS,TSI-107-99710,,13.87
21393,Phoenix Products,"SCHROEDER UTERINE TENACULUM FORCEPS, 1X1 TEETH, 8 3/4""",TSI-85-1010135,,27.97
22571,Phoenix Products,SCISSORS RECTAL AESCULAP L10 3/4 IN CRVD LLOYD DAVIES,TSI-BC55-51176R,,320.51
22432,Phoenix Products,"Scissors, Vannas Capsulotomy, Straight, 6 mm Blades, 3 3/8 in",TSI-115-61389,,244.20
21408,Phoenix Products,SCOVILLE RUPTURED DISC CURETTE LATERAL,TSI-78-6556,,164.71
21427,Phoenix Products,SENN RETRACTOR,TSI-75-510513,"Sharp, Double-Ended,6 1/4 in (162 mm)",8.15
21425,Phoenix Products,SENN RETRACTOR BLUNT DOUBLE-ENDED,TSI-75-510514,6 1/4 in (162 mm),6.14
22558,Phoenix Products,"SENN RETRACTOR DOUBLE-ENDED, BLUNT TITANIUM",TSI-75-510514T,6 1/4 IN,1028.60
22557,Phoenix Products,"SENN RETRACTOR DOUBLE-ENDED, SHARP TITANIUM",TSI-75-510513T,6 1/4 IN,1028.60
22236,Phoenix Products,SENNING BULLDOG CLAMP,TSI-1010-95109,"Very Light, Adjustable Tension, Cooley Jaws, #2 Medium Strong Tension",573.10
22650,Phoenix Products,"SERREFINE FORCEPS, STRAIGHT, 1 1/2""",TSI-115-75711,,51.44
21901,Phoenix Products,SIDE WIRE/PIN CUTTER,TSI-87-6713,"TC, D/A, Angled Jaws 3/32 in (25 mm); 8 1/2 in (216 mm)",266.71
21987,Phoenix Products,"SIDE WIRE/PIN CUTTER, SIDE CUTTING TC JAW",TSI-687-6613,7 in (178mm),235.00
21467,Phoenix Products,SIMS UTERINE CURETTE,TSI-78-101089,Sharp; #1 Malleable; 11 in (280 mm),51.97
21472,Phoenix Products,SIMS UTERINE CURETTE,TSI-78-101098,Sharp; #3; Rigid; 11 in (280 mm),16.95
21468,Phoenix Products,SIMS UTERINE CURETTE SHARP NO 1 ONE PIECE CONSTRUCTION,TSI-78-101096,,16.95
21473,Phoenix Products,SIMS UTERINE CURETTE SHARP NO 4 MALL1BLE SHAFT TIP,TSI-78-1010812,,51.97
21482,Phoenix Products,SIMS UTERINE SOUND,TSI-107-9556,"Malleable, Silver Plated, Graduated in cm; 13 in (330 mm)",28.32
21485,Phoenix Products,SIMS VAGINAL RETRACTOR,TSI-107-7557,"D/E, Size 2 Blades 1in x 3 in Deep & 1 1/4 in x 3 1/4 in Deep; 6 1/4 in (160 mm)",42.86
21490,Phoenix Products,SLUDER JANSEN/SCHINK RETRACTOR 50MM SPR1D,TSI-127-510610,,154.55
22644,Phoenix Products,"SMITH SAGITTAL SPLIT SEPARATOR, LEFT",TSI-56-5997,,314.72
22643,Phoenix Products,"SMITH SAGITTAL SPLIT SEPARATOR, RIGHT",TSI-56-5996,,314.72
21510,Phoenix Products,"SMITH-PETERSON OSTEOTOME CURVED 1/2"" (12MM) 8""",TSI-713-126117,,42.17
21519,Phoenix Products,SNARE PREPARED SNARE WIRE NO 9 SNARE WIRES FOR SINGLE USE ONLY,TSI-127-1110612,,4.57
21521,Phoenix Products,SOFIELD RETRACTOR D/E 6.3 X 1.3CM AND 3.8 X 1.3CM,TSI-77-610106,,63.61
21526,Phoenix Products,"SPENCER NEEDLE HOLDER 0.76MM TC JAW INSERTS WITH LOCK 7 1/4""",TSI-87-61310,,584.60
22047,Phoenix Products,SPENCER STITCH SCISSOR,TSI-109-97510,Straight; Regular pattern; 4 1/8 in (105 mm),12.45
21528,Phoenix Products,SPINAL CURETTE NO 0 ANGULAR TIP,TSI-78-65108,,52.70
21530,Phoenix Products,SPINAL CURETTE NO 00 ANGULAR TIP,TSI-78-65107,,52.70
21532,Phoenix Products,SPINAL CURETTE NO 000 ANGULAR TIP,TSI-78-65106,,52.70
21542,Phoenix Products,SPINAL FUSION CURETTE NO 1 ANGULAR,TSI-78-65109,,40.66
21543,Phoenix Products,SPINAL FUSION CURETTE NO 2 ANGULAR,TSI-78-651010,,44.32
21559,Phoenix Products,"SPLINTER FORCEP STRAIGHT 3 1/2""",TSI-512-135514,,5.48
21565,Phoenix Products,"SPONGE FORCEPS SERRATED STRAIGHT 9 1/2"" (241MM)",TSI-87-11585,"Straight, Serrated 9 1/2 in (241 mm)",10.65
22407,Phoenix Products,ST. MARKS (LLOYD-DAVIS) PELVIS RETRACTOR W/ LIP,TSI-105-14579,"45.0/60.0 X 130.0 mm Blade, 11 3/4"" (30.0 cm)",123.94
19009,Phoenix Products,STERNAL NEEDLE HOLDER,TSI-811-75710,,83.00
22206,Phoenix Products,STEVENS SCISSOR-CERAMIC,TSI-6779-1112118,"TC Blades w/ 1 Micro Serrated Blade, Curved; 5 1/8 in (130 mm)",681.50
22278,Phoenix Products,STEVENS TENOTOMY SCISSOR,TSI-1310-7557,"Supercut, Blunt, Curved; 4 1/2 in (114mm)",99.55
22030,Phoenix Products,STEVENS TENOTOMY SCISSOR,TSI-57-10666,"Curved, Blunt 5 1/2 in(140mm)",10.52
21604,Phoenix Products,STEVENS TENOTOMY SCISSOR,TSI-57-10678,"Curved, Blunt 6 1/2 in (165mm)",34.00
21608,Phoenix Products,STEVENS TENOTOMY SCISSOR,TSI-109-111076,"Curved, Blunt 4 1/8 in (105 mm)",25.45
21609,Phoenix Products,STEVENS TENOTOMY SCISSOR,TSI-109-111078,"Curved, Blunt 4 1/2 in (114 mm)",39.17
21607,Phoenix Products,"STEVENS TENOTOMY SCISSOR, STRAIGHT, BLUNT",TSI-57-10567,4 in (114 mm),25.00
21671,Phoenix Products,STEVENS TENOTOMY SCISSORS,TSI-57-10558,"Curved, Sharp; 4 1/2 in (114 mm)",25.40
21612,Phoenix Products,"STEVENS TENOTOMY SCISSORS, CURVED, BLUNT",TSI-115-613511,4 1/2 in (114 mm),13.35
21621,Phoenix Products,STILLE-LUER LAMINECTOMY RONGEUR STRAIGHT BITE SIZE 10MM,TSI-108-6685,,183.20
22072,Phoenix Products,SWISS JEWELER STYLE FORCEP,TSI-85-1112610,Style 5; Extra-Fine; Tappered Points; Straight; 4 3/8 in (111 mm),20.45
21658,Phoenix Products,"TAYLOR PERCUSSION HAMMER 7 1/2""",TSI-99-512105,,2.69
21662,Phoenix Products,"TEALE UTERINE VULSELLUM FORCEPS CURVED SIDEWAYS 4X5 TEETH SHARP PRONGS, 10 1/8""",TSI-85-1011610,,44.52
21663,Phoenix Products,TEBBETTS-STYLE SPECULUM,TSI-1112-5797,"Thin Blades, Ergonomically Designed Handle; 6 in (150 mm)",155.00
21666,Phoenix Products,"TEFLON CUTTING BLOCK, 1 1/2"" X 3""",TSI-116-5111414,,94.55
21674,Phoenix Products,THOMAS UTERINE CURETTE BLUNT MALL1BLE SHAFT NO 3,TSI-78-101057,,39.84
21675,Phoenix Products,THOMAS UTERINE CURETTE BLUNT MALL1BLE SHAFT NO 6,TSI-78-1010510,,39.84
21677,Phoenix Products,THORACIC FORCEP,TSI-85-135137,Delicately Curved; 9 1/4 in (235 mm),46.68
22123,Phoenix Products,TISCHLER BIOPSY FORCEP,TSI-107-11101011,Standard; 3 mm x 7 mm Bite; 10 in (254 mm),195.50
22572,Phoenix Products,"TISCHLER BIOPSY FORCEPS, 3.0 MM X 7.0MM, STANDARD STYLE 8""",TSI-107-10975,,233.75
21682,Phoenix Products,"TISCHLER BIOPSY PUNCH, 10"" SHAFT, 3 X 7 MM BITE",TSI-107-11101010,,370.92
18550,Phoenix Products,TISCHLER-BABY FORCEP,TSI-107-1110105,"Standard, 2mm x 4mm bite; 10 in (254 mm)",360.24
21686,Phoenix Products,TISSUE FORCEP,TSI-511-51069,"Standard Pattern, Serrated Handle, 1x2 teeth, 5 1/2 in (140 mm)",14.00
21687,Phoenix Products,TISSUE FORCEP,TSI-511-510610,Standard Pattern; Serrated Handle; 1x2 teeth; 6 in (152 mm),6.50
21683,Phoenix Products,"TISSUE FORCEP STANDARD PATTERN 1X2 TEETH, 10""",TSI-511-510710,,11.58
21689,Phoenix Products,"TISSUE FORCEP STANDARD PATTERN 1X2 TEETH, 8""",TSI-511-51075,,5.92
21692,Phoenix Products,"TISSUE FORCEPS 1 X 2 TEETH, 2.3MM TIP, 5 1/2""",TSI-85-96107,,7.08
21694,Phoenix Products,"TISSUE FORCEPS 1 X 2 TEETH, 2.3MM TIP, 6""",TSI-85-96108,,7.00
21696,Phoenix Products,"TISSUE FORCEPS 1 X 2 TEETH, 3MM TIP, 8""",TSI-85-961010,,10.78
21698,Phoenix Products,"TITANIUM BULLDOG ARTERY CLAMP STRAIGHT, JAWS 3.0CM",TSI-610-5986,,227.55
22139,Phoenix Products,TOBEY EAR FORCEP,TSI-116-5668,Very Delicate 2 mm x 4 mm Jaws; 5 1/2 in (140 mm),99.65
21716,Phoenix Products,TROUSSEAU TRACHEAL DILATOR ADULT,TSI-710-9555,,45.50
21717,Phoenix Products,TROUSSEAU TRACHEAL DILATOR CHILD,TSI-710-10101114,,56.13
21728,Phoenix Products,"TUTTLE (SINGLEY) TISSUE FORCEP 7 1/8""",TSI-512-61085,,76.87
21733,Phoenix Products,U.S. ARMY RETRACTOR,TSI-105-95126,"(Set Of Two),Double-Ended; 8 1/4 in (210 mm)",23.30
18714,Phoenix Products,UNIVERSAL RING MALLEABLE RETRACTOR,TSI-105-910116,2 in x 6 in (51 mm x 152 mm),186.75
18709,Phoenix Products,UNIVERSAL RING RETACTOR,TSI-105-910109,Post Coupling; 1 in Diamter,800.35
18713,Phoenix Products,UNIVERSAL RING RETRACTOR,TSI-105-9101112,"Malleable Retractor Blade, 3 in x 6 in",186.75
18583,Phoenix Products,UNIVERSAL RING RETRACTOR,TSI-105-9101211,"Balfour Blade, 2 5/8 x 3 in",216.65
18715,Phoenix Products,UNIVERSAL RING RETRACTOR,TSI-105-910117,"Malleable Retractor Blade, 1 1/2 in x 6 in",187.70
18736,Phoenix Products,UNIVERSAL RING RETRACTOR,TSI-105-910136,"Vertical Table Clamp/Post, 1 in Diameter; 12 in (305 mm)",833.80
18728,Phoenix Products,UNIVERSAL RING RETRACTOR,TSI-105-910138,"Oval Segmented Ring, Medium, Inner Diameter 10 1/2 x 19 1/2",726.43
18703,Phoenix Products,UNIVERSAL RING RETRACTOR,TSI-105-9101111,"Harrington Blade, 1 in x 5 5/8 in x 2 1/2 in Distal",179.56
18704,Phoenix Products,UNIVERSAL RING RETRACTOR,TSI-105-910107,"Horizontal Solid Bar, 1 in Diameter; 14 1/14 in (365 mm)",859.45
18705,Phoenix Products,UNIVERSAL RING RETRACTOR,TSI-105-910137,"Horizontal Flex Bar, 1 in Diameter; Universal Joint; 360 Degree Rotation",874.92
20338,Phoenix Products,UNIVERSAL RING RETRACTOR,TSI-105-9101113,"Kelly Blade, 2 in x 3 in",216.70
20339,Phoenix Products,UNIVERSAL RING RETRACTOR,TSI-105-910125,"Kelly Blade, 2 in x 5 in",215.50
20340,Phoenix Products,UNIVERSAL RING RETRACTOR,TSI-105-910126,"Kelly Blade, 2 in x 6 in",135.70
20341,Phoenix Products,UNIVERSAL RING RETRACTOR,TSI-105-9101114,"Kelly Blade, 2 in x 4 in",21.50
18719,Phoenix Products,UNIVERSAL RING RETRACTOR OVAL RING,TSI-105-9101012,"Medium, Inner Diameter 10 1/2 in x 14 1/2 in (267 mm x 368 mm)",386.07
18768,Phoenix Products,UNIVERSAL RING RETRACTOR STANDARD BLADE CLAMP,TSI-105-9101214,Ratchet Mechanism,212.35
18739,Phoenix Products,UNIVERSAL RING RETRACTOR TILTING BLADE CLAMP,TSI-105-910135,Ratchet Mechanism,340.00
21757,Phoenix Products,"VAN BUREN (GUYON) CATHETER GUIDE 4FR STRAIGHT 15 3/4""",TSI-106-121065,,18.42
22677,Phoenix Products,"VAN BUREN (GUYON) CATHETER GUIDE 6FR CURVED 14 1/2""",TSI-106-121085,,18.42
21772,Phoenix Products,"VAN BUREN URETHRAL SOUND 8 FRENCH CURVED 10 3/4""",TSI-106-118513,,24.04
21783,Phoenix Products,"VERRES NEEDLE 7"" 2MM",TSI-145-1051012,,86.00
21788,Phoenix Products,VIENNA NASAL SPECULUM LARGE,TSI-1214-11111212,,78.59
21789,Phoenix Products,VIENNA NASAL SPECULUM MEDIUM,TSI-1214-11111211,,72.00
21795,Phoenix Products,"VOLKMAN RETRACTOR 4 PRONG BLUNT 8 3/4""",TSI-77-81059,,14.61
21807,Phoenix Products,"VORSE TUBING CLAMP 7 1/4""",TSI-612-127139,,18.20
22647,Phoenix Products,"WALKER IRIS SCISSOR, CURVED TO SIDE, 4 1/2""",TSI-657-76135,,16.21
21825,Phoenix Products,"WAUGH TISSUE FORCEP 1 X 2 TEETH, 6"" POINTED END",TSI-511-98610,,6.47
19478,Phoenix Products,"WEBSTER (DERF) NEEDLE HOLDER, TC",TSI-87-955,4 3/4 in (121 mm),70.00
21828,Phoenix Products,"WEBSTER NEEDLE HOLD LARGE RING HDL 4 3/4""",TSI-87-9510,,51.44
21829,Phoenix Products,"WEBSTER NEEDLE HOLDER SMOOTH JAWS, 4 3/4""",TSI-65-6567,,14.07
22517,Phoenix Products,"WEBSTER NEEDLE HOLDER, SMOOTH JAWS, DELICATE 5""",TSI-65-6569,,15.14
22242,Phoenix Products,WEISMAN-GRAVES VAGINAL SPECULUM,TSI-6107-512145,"XL (Clinton), Right Opening, 15 cm x 4 cm Blade",35.80
22239,Phoenix Products,WEISMAN-GRAVES VAGINAL SPECULUM,TSI-6107-512014,"Small, Right Opening, 7.5 cm x 1.9 cm Blade",20.95
22240,Phoenix Products,WEISMAN-GRAVES VAGINAL SPECULUM,TSI-6107-512115,"Medium, Right Opening, 10 cm x 4 cm Blade",26.00
22241,Phoenix Products,WEISMAN-PEDERSON VAGINAL SPECULUM,TSI-6107-511125,"Large, Right Opening, 11.5 cm x 2.5 cm Blade",24.20
21020,Phoenix Products,WEISMAN-PEDERSON VAGINAL SPECULUM,TSI-107-510513,Right Opening,84.21
21843,Phoenix Products,WEITLANER RETRACTOR,TSI-105-1011911,2x3; Sharp Prongs; 4 1/4 in (108 mm),37.55
21842,Phoenix Products,WEITLANER RETRACTOR 2 X 3 BLUNT PRONGS,TSI-105-1011912,,76.02
21847,Phoenix Products,"WEITLANER RETRACTOR 3X4 BLUNT 9""",TSI-79-77710,,57.33
21853,Phoenix Products,WEITLANER RETRACTOR BLUNT,TSI-105-661412,,46.50
21857,Phoenix Products,WEITLANER RETRACTOR SHARP,TSI-105-661411,,98.83
21861,Phoenix Products,"WEITLANER RETRACTOR SHARP 2X3 4 1/2""",TSI-79-7765,,29.51
21865,Phoenix Products,"WEITLANER-BECKMANN RETRACTOR 3X4 BLUNT 9.5""",TSI-79-8579,,95.73
21866,Phoenix Products,"WEITLANER-BECKMANN RETRACTOR 3X4 SHARP 5.5""",TSI-79-8568,,78.64
21874,Phoenix Products,"WESTCOTT TENOTOMY SCISSOR RIGHT HANDED 4 1/2""",TSI-115-6121412,,259.00
21883,Phoenix Products,"WILLAUER-ALLIS THORACIC TISSUE FORCEPS, 8MM TIP, 10""",TSI-85-1351310,,27.00
21894,Phoenix Products,"WILLIAMS SPLINTER FORCEPS, 5 1/2""",TSI-85-911513,,21.55
21898,Phoenix Products,WIRE CUTTER,TSI-1011-71065,,231.52
21639,Phoenix Products,WIRE CUTTING SCISSOR,TSI-109-9665,"Angled To One Side, 1 Serrated Blade; 4 3/4 in (121 mm)",12.45
21912,Phoenix Products,"WOODSON ELEVATOR DOUBLE ENDED 7 1/8""",TSI-1012-810610,,31.38
21914,Phoenix Products,WOODSON SEPARATOR-PACKER,TSI-1110-66810,"4.0 mm, 7 1/2""",37.65
21922,Phoenix Products,"YANKAUER SUCTION TUBE 10 1/4""",TSI-514-131055,"Standard Patter, Removeable Tip; 10 1/4 in (260 mm)",22.60
21937,Phoenix Products,ZAUFAL-JANSEN BONE RONGEUR 4MM BITE CURVED 180MM SHAFT,TSI-108-651410,,160.00
